3,9,0,0
3.0158,9,0,0.03
3.033,9,0,0.06
3.0518,9,0,0.09
3.072,9,0,0.12
3.0938,9,0,0.15
3.117,9,0,0.18
3.1418,9,0,0.21
3.168,9,0,0.24
3.1958,9,0,0.27
3.225,9,0,0.3
3.2558,9,0,0.33
3.288,9,0,0.36
3.3218,9,0,0.39
3.357,9,0,0.42
3.3938,9,0,0.45
3.432,9,0,0.48
3.4718,9,0,0.51
3.513,9,0,0.54
3.5558,9,0,0.57
3.6,9,0,0.6
3.6458,9,0,0.63
3.693,9,0,0.66
3.7418,9,0,0.69
3.792,9,0,0.72
3.8438,9,0,0.75
3.897,9,0,0.78
3.9518,9,0,0.81
4.008,9,0,0.84
4.0658,9,0,0.87
4.125,9,0,0.9
4.1858,9,0,0.93
4.248,9,0,0.96
4.3118,9,0,0.99
4.377,9,0,1.02
4.4438,9,0,1.05
4.512,9,0,1.08
4.5818,9,0,1.11
4.653,9,0,1.14
4.7258,9,0,1.17
4.8,9,0,1.2
4.8758,9,0,1.23
4.953,9,0,1.26
5.0318,9,0,1.29
5.112,9,0,1.32
5.1938,9,0,1.35
5.277,9,0,1.38
5.3618,9,0,1.41
5.448,9,0,1.44
5.5358,9,0,1.47
5.625,9,0,1.5
5.7158,9,0,1.53
5.808,9,0,1.56
5.9018,9,0,1.59
5.997,9,0,1.62
6.0938,9,0,1.65
6.192,9,0,1.68
6.2918,9,0,1.71
6.393,9,0,1.74
6.4958,9,0,1.77
6.6,9,0,1.8
6.7058,9,0,1.83
6.813,9,0,1.86
6.9218,9,0,1.89
7.032,9,0,1.92
7.1438,9,0,1.95
7.257,9,0,1.98
7.3718,9,0,2.01
7.488,9,0,2.04
7.6058,9,0,2.07
7.725,9,0,2.1
7.8458,9,0,2.13
7.968,9,0,2.16
8.0918,9,0,2.19
8.217,9,0,2.22
8.3438,9,0,2.25
8.472,9,0,2.28
8.6018,9,0,2.31
8.733,9,0,2.34
8.8658,9,0,2.37
9,9,0,2.4
9.1358,9,0,2.43
9.273,9,0,2.46
9.4118,9,0,2.49
9.552,9,0,2.52
9.6938,9,0,2.55
9.837,9,0,2.58
9.9818,9,0,2.61
10.128,9,0,2.64
10.2758,9,0,2.67
10.425,9,0,2.7
10.5758,9,0,2.73
10.728,9,0,2.76
10.8818,9,0,2.79
11.037,9,0,2.82
11.1938,9,0,2.85
11.352,9,0,2.88
11.5118,9,0,2.91
11.673,9,0,2.94
11.8358,9,0,2.97
12,9,0,3
12,9,0,3
12.15,9,0,3
12.3,9,0,3
12.45,9,0,3
12.6,9,0,3
12.75,9,0,3
12.9,9,0,3
13.05,9,0,3
13.2,9,0,3
13.35,9,0,3
13.5,9,0,3
13.65,9,0,3
13.8,9,0,3
13.95,9,0,3
14.1,9,0,3
14.25,9,0,3
14.4,9,0,3
14.55,9,0,3
14.7,9,0,3
